year,P_station_mm,P_sat_mm,P_corrected_mm,n_rows,expected,completeness,raster_v2_mm,pbias_v2_pct,abs_pbias_v2,raster_v3_mm,pbias_v3_pct,abs_pbias_v3,raster_v4_mm,pbias_v4_pct,abs_pbias_v4,raster_v5_mm,pbias_v5_pct,abs_pbias_v5,ext_idx,is_extreme,improve_v5_vs_v2,improve_v5_vs_v3,improve_v5_vs_v4
2001,691.7,498.81998918484896,501.9127381636927,2920,2920,1.0,469.3118024772617,-32.15096104130957,32.15096104130957,506.4776594885625,-26.777843069457504,26.777843069457504,506.4776594885625,-26.777843069457504,26.777843069457504,596.3544248058461,-13.784238137075896,13.784238137075896,0.8838342810722993,False,18.366722904233676,12.993604932381608,12.993604932381608
2002,580.0,517.6029882691801,522.108954119935,2920,2920,1.0,503.4029598501511,-13.20638623273257,13.20638623273257,528.6172817270271,-8.859089357409113,8.859089357409113,541.2629618798383,-6.678799675889955,6.678799675889955,562.0160487280227,-3.1006812537891855,3.1006812537891855,0.02355808285946366,False,10.105704978943384,5.758408103619928,3.57811842210077
2003,499.0,516.3139868117869,520.1115927876325,2920,2920,1.0,487.9246632116847,-2.219506370403873,2.219506370403873,527.8190270569175,5.775356123630771,5.775356123630771,527.8190270569175,5.775356123630771,5.775356123630771,521.4773920704611,4.504487388869953,4.504487388869953,0.6815597075548332,False,-2.2849810184660804,1.2708687347608176,1.2708687347608176
2004,579.2,547.7979884045199,550.6570374877954,2928,2928,1.0,548.2694431100964,-5.340220457510987,5.340220457510987,563.3604432595894,-2.7347301002090245,2.7347301002090245,563.3604432595894,-2.7347301002090245,2.7347301002090245,563.3604432595894,-2.7347301002090245,2.7347301002090245,0.030056864337936078,False,2.6054903573019623,0.0,0.0
2005,506.5,467.3829894270748,470.36762816475425,2920,2920,1.0,446.9176887604408,-11.763536276319684,11.763536276319684,480.544083986897,-5.124563872280944,5.124563872280944,480.544083986897,-5.124563872280944,5.124563872280944,497.5351778571494,-1.7699550133959736,1.7699550133959736,0.6206336311941508,False,9.99358126292371,3.35460885888497,3.35460885888497
2006,585.8,543.8239867752418,543.9223022125516,2920,2920,1.0,523.5093364505967,-10.633435225231008,10.633435225231008,559.1202896335162,-4.554406003155298,4.554406003155298,559.1202896335162,-4.554406003155298,4.554406003155298,576.3430723724887,-1.6143611518455578,1.6143611518455578,0.02355808285946366,False,9.01907407338545,2.9400448513097404,2.9400448513097404
2007,675.3,624.7514844778925,633.9650437359078,2920,2920,1.0,614.8212539329957,-8.955833861543654,8.955833861543654,643.0035596033558,-4.782532266643585,4.782532266643585,664.6263092900626,-1.5805850303475966,1.5805850303475966,663.9962465600111,-1.6738861898399076,1.6738861898399076,0.7506092607636065,False,7.281947671703747,3.1086460768036774,-0.09330115949231099
2008,681.6,622.9219855759293,628.3659762051057,2928,2928,1.0,593.2567033160835,-12.961164419588686,12.961164419588686,641.1117301424965,-5.9401804368403015,5.9401804368403015,662.7788106235676,-2.761324732457816,2.761324732457816,667.4291064781137,-2.0790630167086768,2.0790630167086768,0.8017871649065802,False,10.882101402880009,3.8611174201316247,0.6822617157491391
2009,424.0,421.51699002459645,421.49857942094496,2920,2920,1.0,398.4419920705259,-6.027832058838235,6.027832058838235,428.7598432954401,1.1226045508113391,1.1226045508113391,444.7070854366757,4.883746565253702,4.883746565253702,444.7070854366757,4.883746565253702,4.883746565253702,1.2908204711616567,True,1.1440854935845328,-3.761142014442363,0.0
2010,523.8,427.7604899536818,438.73410253829695,2920,2920,1.0,428.68289334256485,-18.159050526429002,18.159050526429002,445.89183207647875,-14.873647942634824,14.873647942634824,445.89183207647875,-14.873647942634824,14.873647942634824,496.567958840169,-5.198938747581318,5.198938747581318,0.4800974817221772,False,12.960111778847685,9.674709195053506,9.674709195053506
2011,726.6,596.8674861863256,606.0971702882417,2920,2920,1.0,587.7282973977271,-19.112538205652747,19.112538205652747,617.1336369542405,-15.065560562312072,15.065560562312072,638.6141607547179,-12.109253956135719,12.109253956135719,688.2511658119038,-5.277846709069123,5.277846709069123,1.1673436230706744,True,13.834691496583623,9.787713853242948,6.831407247066596
2012,622.0,573.6779873613268,581.7178530443588,2928,2928,1.0,572.8625959018245,-7.899904195848145,7.899904195848145,592.6242004097439,-4.722797361777502,4.722797361777502,614.9549851929769,-1.132639036498892,1.132639036498892,628.1662457156926,0.9913578321049259,0.9913578321049259,0.31762794476035755,False,6.908546363743219,3.731439529672576,0.1412812043939662
2013,554.0,560.3584860488772,558.9901570710608,2920,2920,1.0,549.8044589618221,-0.7573178769274201,0.7573178769274201,573.0423357570544,3.4372447214899617,3.4372447214899617,588.0517053911462,6.146517218618455,6.146517218618455,579.3169165924191,4.569840540147861,4.569840540147861,0.23476848090982919,False,-3.8125226632204408,-1.132595818657899,1.5766766784705943
2014,509.4,514.3199869664386,521.9389724299716,2920,2920,1.0,504.5297718355432,-0.9560714889000319,0.9560714889000319,529.7977846888825,4.004276538846202,4.004276538846202,529.7977846888825,4.004276538846202,4.004276538846202,516.6325720464811,1.419821760204377,1.419821760204377,0.5970755483346871,False,-0.4637502713043451,2.5844547786418253,2.5844547786418253
2015,548.6,506.63548944471404,516.858975750941,2920,2920,1.0,510.27493272422623,-6.985976535868353,6.985976535868353,525.2970127495937,-4.2477191488163175,4.2477191488163175,525.2970127495937,-4.2477191488163175,4.2477191488163175,540.3418965584133,-1.5053050385684907,1.5053050385684907,0.2786352558895203,False,5.480671497299863,2.742414110247827,2.742414110247827
2016,598.3,583.4054861180484,596.3511402797601,2928,2928,1.0,598.2551119634829,-0.007502596777038703,0.007502596777038703,604.7562922667712,1.079106178634672,1.079106178634672,628.0429513677955,4.97124375192972,4.97124375192972,628.0429513677955,4.97124375192972,4.97124375192972,0.12510154346060093,False,-4.963741155152681,-3.892137573295048,0.0
2017,661.1,592.9149857247248,601.0418211349763,2920,2920,1.0,600.2591196838766,-9.202976904571681,9.202976904571681,608.8728663148358,-7.90003534792984,7.90003534792984,632.4218904743902,-4.337938212919344,4.337938212919344,643.0161858415231,-2.735412820825429,2.735412820825429,0.6352558895207151,False,6.467564083746252,5.164622527104411,1.6025253920939146
2018,483.5,462.202488232404,474.12233567639794,2920,2920,1.0,470.4449692456983,-2.7001097733819432,2.7001097733819432,481.58440093602985,-0.39619422212412586,0.39619422212412586,481.58440093602985,-0.39619422212412586,0.39619422212412586,481.58440093602985,-0.39619422212412586,0.39619422212412586,0.8074735987002434,False,2.3039155512578176,0.0,0.0
2019,611.5,588.6244863932952,604.0407656066785,2920,2920,1.0,599.5216324587818,-1.9588499658574288,1.9588499658574288,610.206004273612,-0.21161009425804544,0.21161009425804544,632.5837747426704,3.4478781263565588,3.4478781263565588,632.5837747426704,3.4478781263565588,3.4478781263565588,0.23233143785540225,False,-1.48902816049913,-3.236268032098513,0.0
2020,588.6,623.7129845330492,643.3368088172194,2928,2928,1.0,621.3309436626732,5.560812718768809,5.560812718768809,651.2409840542823,10.642369020435318,10.642369020435318,651.2409840542823,10.642369020435318,10.642369020435318,643.9592840685509,9.405247038489788,9.405247038489788,0.04630381803411896,False,-3.844434319720979,1.2371219819455295,1.2371219819455295
2021,498.4,529.7094881813973,546.3179770583916,2920,2920,1.0,533.3695731784683,7.0163670101260625,7.0163670101260625,551.8201214894652,10.718322931273127,10.718322931273127,551.8201214894652,10.718322931273127,10.718322931273127,533.1974456021562,6.98183097956586,6.98183097956586,0.686433793663688,False,0.03453603056020249,3.736491951707267,3.736491951707267
2022,735.0,607.8919857754372,625.7390999490673,2920,2920,1.0,613.9691349423355,-16.46678436158701,16.46678436158701,633.7947865305468,-13.769416798565054,13.769416798565054,651.7104544315953,-11.331910961687717,11.331910961687717,699.5781747282017,-4.819295955346707,4.819295955346707,1.2355808285946384,True,11.647488406240303,8.950120843218347,6.51261500634101
2023,461.3,441.8934897184372,452.655663667664,2920,2920,1.0,437.5149548127991,-5.156090437286131,5.156090437286131,457.1021802476607,-0.90999777852575,0.90999777852575,471.03780490905046,2.110948386960861,2.110948386960861,471.03780490905046,2.110948386960861,2.110948386960861,0.9878147847278631,False,3.0451420503252695,-1.2009506084351111,0.0
2024,596.4,468.09998905286193,485.56463761777195,2928,2928,1.0,463.0898123164804,-22.352479490865125,22.352479490865125,490.31288754567504,-17.787912886372393,17.787912886372393,490.31288754567504,-17.787912886372393,17.787912886372393,543.4307328080758,-8.881500199853141,8.881500199853141,0.10966693744922824,False,13.470979291011984,8.906412686519252,8.906412686519252
